"Series Description","Nominal Broad Dollar Index","Nominal Advanced Foreign Economies Dollar Index","Nominal Emerging Market Economies Dollar Index"
"Unit:","Index:_1997_Jan_100","Index:_1997_Jan_100","Index:_1997_Jan_100"
"Multiplier:","1","1","1"
"Currency:","NA","NA","NA"
"Unique Identifier: ","H10/H10/JRXWTFB_N.B","H10/H10/JRXWTFN_N.B","H10/H10/JRXWTFO_N.B"
"Time Period","JRXWTFB_N.B","JRXWTFN_N.B","JRXWTFO_N.B"
2006-01-02,101.4155,101.7857,100.9386
2006-01-03,100.7558,100.6967,100.8318
2006-01-04,100.2288,100.0512,100.4582
2006-01-05,100.2992,100.2697,100.3368
2006-01-06,100.0241,99.8965,100.1888
2006-01-09,100.1794,100.3432,99.9677
2006-01-10,100.1436,100.1823,100.0931
2006-01-11,99.8710,99.7012,100.0905
2006-01-12,100.0643,100.2245,99.8573
2006-01-13,99.9675,99.9290,100.0169
2006-01-16,99.9715,99.9290,100.0261
2006-01-17,100.2447,100.3620,100.0930
2006-01-18,100.4085,100.5168,100.2684
2006-01-19,100.1862,100.2299,100.1294
2006-01-20,99.9017,99.8988,99.9051
2006-01-23,99.3783,99.0548,99.7974
2006-01-24,99.3434,99.0845,99.6786
2006-01-25,99.3480,99.1685,99.5800
2006-01-26,99.4798,99.4062,99.5745
2006-01-27,99.6433,99.8055,99.4336
2006-01-30,99.7144,99.9440,99.4179
2006-01-31,99.4311,99.5198,99.3163
2006-02-01,99.6132,99.7872,99.3884
2006-02-02,99.7916,99.8986,99.6530
2006-02-03,100.1180,100.4795,99.6522
2006-02-06,100.1372,100.7223,99.3857
2006-02-07,100.1759,100.6885,99.5170
2006-02-08,100.4879,101.0714,99.7386
2006-02-09,100.2117,100.7422,99.5299
2006-02-10,100.3220,100.9745,99.4846
2006-02-13,100.3955,101.0531,99.5516
2006-02-14,100.3987,101.1129,99.4829
2006-02-15,100.4489,101.1606,99.5362
2006-02-16,100.5183,101.3203,99.4909
2006-02-17,100.3404,101.1249,99.3351
2006-02-20,100.3447,101.1249,99.3451
2006-02-21,100.2346,100.9599,99.3046
2006-02-22,100.3879,101.0156,99.5821
2006-02-23,100.1956,100.7685,99.4597
2006-02-24,100.2594,100.9584,99.3628
2006-02-27,100.0724,100.6459,99.3357
2006-02-28,99.7695,100.2045,99.2097
2006-03-01,99.8355,100.3460,99.1791
2006-03-02,99.5969,99.8478,99.2731
2006-03-03,99.7024,99.8903,99.4597
2006-03-06,99.9834,100.2805,99.6004
2006-03-07,100.5640,100.9863,100.0204
2006-03-08,100.8565,101.2344,100.3699
2006-03-09,100.7718,101.2668,100.1352
2006-03-10,100.9566,101.6481,100.0695
2006-03-13,100.8563,101.4533,100.0895
2006-03-14,100.3120,100.6379,99.8920
2006-03-15,100.2121,100.5902,99.7253
2006-03-16,99.9049,100.1566,99.5801
2006-03-17,99.8614,99.9849,99.7016
2006-03-20,100.0491,100.2608,99.7758
2006-03-21,100.4716,100.8311,100.0085
2006-03-22,100.4960,100.6920,100.2427
2006-03-23,100.8256,101.2770,100.2447
2006-03-24,100.7773,101.1294,100.3237
2006-03-27,100.8359,101.0792,100.5220
2006-03-28,100.7995,100.9672,100.5828
2006-03-29,101.0474,101.3872,100.6095
2006-03-30,100.5698,100.6551,100.4592
2006-03-31,100.5600,100.8028,100.2465
2006-04-03,100.6204,101.0299,100.0934
2006-04-04,100.1319,100.2795,99.9411
2006-04-05,100.0792,100.1436,99.9956
2006-04-06,100.1578,100.0604,100.2834
2006-04-07,100.4187,100.3532,100.5029
2006-04-10,100.4091,100.4670,100.3339
2006-04-11,100.2903,100.2642,100.3236
2006-04-12,100.3589,100.3417,100.3808
2006-04-13,100.4759,100.4262,100.5398
2006-04-14,100.4697,100.4698,100.4692
2006-04-17,99.8719,99.4960,100.3593
2006-04-18,99.6747,99.3638,100.0775
2006-04-19,99.3467,98.8673,99.9691
2006-04-20,99.4974,99.0628,100.0615
2006-04-21,99.4345,98.8743,100.1627
2006-04-24,99.1170,98.4916,99.9308
2006-04-25,98.9687,98.1796,99.9974
2006-04-26,98.8907,97.8500,100.2516
2006-04-27,98.5149,97.3920,99.9848
2006-04-28,98.1412,96.8231,99.8708
2006-05-01,97.9085,96.5107,99.7445
2006-05-02,97.6571,96.1961,99.5777
2006-05-03,97.5572,96.1872,99.3563
2006-05-04,97.4878,96.0158,99.4231
2006-05-05,97.2585,95.7028,99.3060
2006-05-08,97.1945,95.7507,99.0923
2006-05-09,96.9578,95.3310,99.1010
2006-05-10,96.6391,95.0172,98.7758
2006-05-11,96.5383,94.6640,99.0151
2006-05-12,96.8788,94.8391,99.5796
2006-05-15,97.3588,95.2097,100.2076
2006-05-16,97.1959,95.1394,99.9190
2006-05-17,97.4725,95.5011,100.0802
