Time Series Search Export,Search term,Search filters,,Last update of Bilateral exchange rates data,Downloaded at,Source,Source URL,Download URL,About Bilateral exchange rates
,,,,2023-09-14,2023-09-15 13:32 CEST,BIS,"https://data.bis.org/topics/XRU/BIS,WS_XRU,1.0/D.XM.EUR.A",https://data.bis.org/export/c1cabd3c1072700678243ef247e80f21,https://data.bis.org/topics/XRU

DATAFLOW_ID,KEY,FREQ,REF_AREA,CURRENCY,COLLECTION,TIME_PERIOD,OBS_VALUE,OBS_PRE_BREAK,OBS_STATUS,OBS_CONF
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-06-28,0.828947,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-01,0.828322,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-02,0.828837,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-03,0.826228,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-04,0.830006,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-05,0.828377,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-08,0.827794,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-09,0.82991,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-10,0.830344,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-11,0.831622,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-12,0.829428,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-15,0.828597,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-16,0.826446,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-17,0.826071,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-18,0.826057,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-19,0.825832,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-22,0.82558,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-23,0.824239,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-24,0.81825,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-25,0.818565,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-26,0.822037,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-29,0.823798,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-30,0.824878,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-07-31,0.829105,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-01,0.827465,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-02,0.826945,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-05,0.826692,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-06,0.824334,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-07,0.828301,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-08,0.834529,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-09,0.832148,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-12,0.834474,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-13,0.838975,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-14,0.839194,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-15,0.839194,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-16,0.842602,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-19,0.848155,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-20,0.848702,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-21,0.843989,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-22,0.847616,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-23,0.848385,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-26,0.845788,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-27,0.849545,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-28,0.851782,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-29,0.84943,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-08-30,0.851506,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-02,0.854241,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-03,0.851883,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-04,0.848688,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-05,0.854526,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-06,0.853089,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-09,0.853709,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-10,0.851491,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-11,0.852086,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-12,0.853308,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-13,0.852762,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-16,0.852842,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-17,0.849907,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-18,0.848997,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-19,0.849798,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-20,0.851209,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-23,0.851172,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-24,0.848817,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-25,0.850065,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-26,0.849279,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-27,0.848061,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-09-30,0.84563,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-01,0.844851,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-02,0.846625,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-03,0.847005,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-04,0.843192,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-07,0.841029,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-08,0.841871,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-09,0.838392,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-10,0.839483,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-11,0.841227,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-14,0.839948,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-15,0.839468,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-16,0.838581,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-17,0.835904,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-18,0.836764,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-21,0.838532,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-22,0.838012,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-23,0.835038,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-24,0.834773,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-25,0.833389,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-28,0.834752,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-29,0.833563,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-30,0.833757,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-10-31,0.834244,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-01,,,M,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-04,0.830482,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-05,0.828631,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-06,0.828837,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-07,0.828397,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-08,0.831421,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-11,0.831421,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-12,0.831954,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-13,0.835227,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-14,0.830158,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-15,0.824436,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-18,0.820526,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-19,0.819424,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-20,0.822497,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-21,0.829181,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-22,0.821241,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-25,0.822213,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-26,0.817815,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-27,0.818076,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-28,0.818458,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-11-29,0.818538,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-02,0.822389,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-03,0.824137,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-04,0.819108,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-05,0.819095,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-06,0.817789,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-09,0.812816,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-10,0.81608,,A,F
"BIS,WS_XRU,1.0",D.XM.EUR.A,D,XM,EUR,A,1974-12-11,0.811464,,A,F
