date,MP1,ONRUN2,ONRUN10,SP500
1991-07-05,0,2.1,2.4,-2.932
1991-08-06,-18.6,-7.7,-4,49.425
1991-08-21,12.4,0.8,0.4,12.212
1991-09-13,-5.294,0.4,-0.9,-4.647
1991-10-02,-1.069,0,-0.5,-4.361
1991-10-30,-3.001,-1.7,-0.6,2.295
1991-11-06,-10,-9.3,-5,0
1991-12-06,0,0.9,0.9,2.634
1991-12-18,4.769,1.3,-0.5,-0.786
1991-12-20,-36.635,-24.1,-8.2,0
1992-02-06,1.261,0,-0.4,3.623
1992-04-01,1.035,0,0.2,-13.198
1992-04-09,-21.429,-18.8,-5.3,80.1509999999999
1992-05-20,0,2.6,-1.1,-6.721
1992-07-02,-8.552,1.2,1.8,5.57
1992-08-19,2.583,0,-0.2,2.617
1992-09-04,0,-0.8,0.8,-0.24
1992-10-07,0,1.7,0.9,-18.129
1992-11-18,-4.999,0.5,-0.3,27.846
1992-12-23,3.873,0,-0.4,-10.212
1993-02-04,0,0,0.2,-6.245
1993-03-24,0,0.9,0.2,-9.324
1993-05-19,-2.583,-1.2,-1.5,15.957
1993-07-08,2.696,-0.4,-0.2,29
1993-08-18,0,0.8,0.8,-11.818
1993-09-22,0,0.4,0.4,0
1993-11-17,2.308,-0.4,-1.2,4.079
1993-12-22,0,0,0,1.935
1994-02-04,16.333,14.2,7.4,-65.986
1994-03-22,-0.001,-5.2,-6.6,30.084
1994-04-18,15.001,9.9,4.9,-67.892
1994-05-17,11.072,-6.9,-9.5,54.159
1994-07-06,-4.96,0,1.5,-18.351
1994-08-16,12.399,2.2,-4.7,25.516
1994-09-27,-9,-0.9,2.4,-19.502
1994-11-15,12,2.6,-1.2,-55.058
1994-12-20,-22.546,-1.3,0.6,4.59
1995-02-01,6.223,6.8,3.2,-20.96
1995-03-28,-1,0.9,1.6,-14.307
1995-05-23,0.001,0,0.2,-1.713
1995-07-06,-11.16,-19,-13.4,31.071
1995-08-22,3.443,3.5,2.6,-16.999
1995-09-26,3.001,3.9,3.2,-17.497
1995-11-15,3.999,3,1.6,-6.109
1995-12-19,-9.041,-1.7,-0.8,26.401
1996-01-31,-3.001,-2.9,-1,5.067
1996-03-26,1,1.3,-0.2,21.235
1996-05-21,-0.001,1.3,1.2,-21.492
1996-07-03,-7.197,-2.6,-1.1,13.861
1996-08-20,-2.819,0.9,1.3,-14.401
1996-09-24,-12,-9.1,-3.1,0.727
1996-11-13,-1.765,-0.9,-2.4,25.763
1996-12-17,1.107,0.5,0.5,-7.589
1997-02-05,-3.652,0.9,2.2,-33.607
1997-03-25,4,7,5.6,-66.551
1997-05-20,-9.865,-3.5,-1.3,55.083
1997-07-02,-2.138,0,-0.9,19.237
1997-08-19,-0.001,0.9,1.3,-42.781
1997-09-30,0,-0.4,0.6,-20.644
1997-11-12,-4.166,-3,-2.3,-55.214
1997-12-16,0,-1.3,-0.4,-12.988
1998-02-04,0,1.7,0.7,-33.72
1998-03-31,-1,0.4,0.4,-1.808
1998-05-19,-2.584,-1.8,-0.8,-11.687
1998-07-01,-0.516,0,0.2,8.763
1998-08-18,1.193,-0.4,0,16.447
1998-09-29,5,2.1,-0.4,-75.181
1998-10-15,-24.219,-25.4,-15,204.262
1998-11-17,-6.923,-1.3,-1,81.194
1998-12-22,0,0.4,0.2,-13.276
1999-02-03,0.56,1.2,2.4,14.979
1999-03-30,-1,-2.9,-0.6,-20.642
1999-05-18,-1.193,11.1,10.8,-143.559
1999-06-30,-3,-10.9,-7.7,160.906
1999-08-24,3.5,0,-1.9,57.282
1999-10-05,-4.173,7.6,7.2,-82.928
1999-11-16,7.501,7.7,3.8,-41.763
1999-12-21,1.551,3.1,4,47.722
2000-02-02,-5.907,3.9,4.6,-41.01
2000-03-21,-4.65,2.2,-0.2,6.116
2000-05-16,4.133,5.2,0.9,-54.54
2000-06-28,-2.5,-2.6,-1.5,25.302
2000-08-22,-1.721,1.7,0.8,-12.621
2000-10-03,0,5.5,2.5,-30.266
2000-11-15,-0.999,0,-2.1,-66.752
2000-12-19,6.458,1.3,2.6,-69.114
2001-01-03,-39.304,-1.6,5.2,407.575
2001-01-31,3.5,0.8,1.3,-62.364
2001-03-20,7.046,-3.4,-0.8,-67.958
2001-04-18,-43.749,-23.3,-2.7,222.956
2001-05-15,-9.688,-13.1,-2.4,40.882
2001-06-27,10.5,5.5,1.1,-40.319
