date,u1,u2,u3,u4
05/07/1991,-0.02955,0.56367,0.36276,0.2503
06/08/1991,-1.83272,-0.31505,-1.43167,0.07751
21/08/1991,1.08089,-0.58744,1.82656,0.14376
13/09/1991,-0.35825,0.04375,-1.4516,0.01906
02/10/1991,-0.05417,-0.0417,-0.44493,-0.06976
30/10/1991,-0.3291,0.01746,-0.05712,-0.135
06/11/1991,-1.12636,-0.53035,-0.30419,-1.0701
06/12/1991,-0.00414,0.17916,0.11344,0.16938
18/12/1991,0.5318,-0.37398,-0.06961,0.06584
20/12/1991,-4.17713,0.30592,0.0378,-2.52768
06/02/1992,0.13575,-0.18605,0.00712,0.03512
01/04/1992,0.07643,0.10521,0.17738,-0.22948
09/04/1992,-2.74388,-0.44078,2.16559,-0.70367
20/05/1992,0.25834,-0.29442,-1.66093,0.16872
02/07/1992,-0.77871,0.76568,-0.81776,0.38564
19/08/1992,0.23425,-0.18904,0.30302,0.00538
04/09/1992,-0.1124,0.22379,0.73385,-0.08028
07/10/1992,0.05459,0.31875,-0.33914,-0.0833
18/11/1992,-0.37607,-0.07602,-0.93902,0.58248
23/12/1992,0.36127,-0.19828,0.3157,-0.23009
04/02/1993,-0.01322,0.09859,0.06418,-0.09984
24/03/1993,0.04883,0.0976,-0.31985,-0.04562
19/05/1993,-0.19696,-0.34677,-0.57478,0.12643
08/07/1993,0.21135,-0.38873,0.64509,0.39733
18/08/1993,-0.00087,0.26959,0.01347,-0.08578
22/09/1993,-0.00161,0.08875,0.0432,0.05574
17/11/1993,0.25548,-0.42632,-0.08078,-0.03555
22/12/1993,-0.00038,-0.01508,0.01194,0.0323
04/02/1994,1.8406,1.21658,0.09741,0.51339
22/03/1994,0.11606,-1.73762,-1.09507,-0.25326
18/04/1994,1.61454,0.78796,0.34483,-0.06055
17/05/1994,1.1493,-3.1109,-0.07629,-0.26005
06/07/1994,-0.52784,0.74543,-0.09097,-0.2082
16/08/1994,1.54241,-2.0031,-1.27856,0.41792
27/09/1994,-0.99869,1.18975,0.11984,-0.2602
15/11/1994,1.29864,-0.49422,-0.20064,-0.7978
20/12/1994,-2.05601,1.18634,-2.53679,0.23318
01/02/1995,0.76782,0.48735,-0.30529,0.43685
28/03/1995,-0.13668,0.53189,0.21759,-0.08486
23/05/1995,-0.01403,0.06323,0.0923,-0.02421
06/07/1995,-1.28644,-2.54679,-0.66727,-1.85935
22/08/1995,0.34801,0.5261,0.33015,0.139
26/09/1995,0.29435,0.68898,0.40632,0.19663
15/11/1995,0.43143,0.17993,0.17042,0.23279
19/12/1995,-0.83457,0.05728,-0.92207,0.34224
31/01/1996,-0.38265,-0.07067,0.24126,-0.23835
26/03/1996,0.18429,-0.29747,-0.34812,0.48947
21/05/1996,0.00617,0.431,-0.04374,-0.17976
03/07/1996,-0.71457,0.02035,-0.51037,-0.00349
20/08/1996,-0.27012,0.54133,-0.21142,-0.06916
24/09/1996,-1.42078,0.02466,0.29332,-0.96644
13/11/1996,-0.04359,-0.69379,-0.97479,0.29477
17/12/1996,0.09391,0.1192,0.17413,-0.07153
