date,u1,u2,u3,u4
1991-07-05,-0.00385,0.42412,0.37935,0.30394
1991-08-06,-2.47115,0.1806,-0.83228,0.01121
1991-08-21,1.65601,-1.10077,1.08189,0.04153
1991-09-13,-0.70784,0.43983,-1.01973,0.09798
1991-10-02,-0.14285,0.08376,-0.33147,-0.05284
1991-10-30,-0.39827,0.05804,0.0144,-0.16219
1991-11-06,-1.32128,-0.29547,-0.13871,-1.26333
1991-12-06,-0.00147,0.1301,0.11798,0.19299
1991-12-18,0.63546,-0.36875,-0.20769,0.07151
1991-12-20,-4.85786,0.66125,0.77212,-2.97001
1992-02-06,0.16874,-0.18687,-0.05122,0.02589
1992-04-01,0.13775,0.06071,0.14064,-0.23957
1992-04-09,-2.83165,-0.77989,1.98614,-1.14787
1992-05-20,-0.00366,0.13168,-1.33939,0.27868
1992-07-02,-1.14474,0.95893,-0.34542,0.49701
1992-08-19,0.34528,-0.27105,0.15372,-0.01916
1992-09-04,0.00091,0.03023,0.60885,-0.11855
1992-10-07,-0.00338,0.38978,-0.20329,-0.02589
1992-11-18,-0.66755,0.1639,-0.65778,0.64966
1992-12-23,0.51724,-0.27777,0.14183,-0.26316
1993-02-04,-0.00029,0.08226,0.06877,-0.10077
1993-03-24,-0.0017,0.17488,-0.22895,-0.01236
1993-05-19,-0.34237,-0.17175,-0.46261,0.12058
1993-07-08,0.36193,-0.56814,0.37485,0.35171
1993-08-18,-0.00182,0.25495,0.06039,-0.06211
1993-09-22,-0.00069,0.06934,0.04876,0.06646
1993-11-17,0.30947,-0.39333,-0.18052,-0.06197
1993-12-22,7e-05,-0.01904,0.00608,0.03193
1994-02-04,2.15727,0.98345,-0.00274,0.81261
1994-03-22,0.01042,-1.34305,-1.15815,-0.38349
1994-04-18,1.98616,0.55992,0.14202,0.11835
1994-05-17,1.49414,-2.96187,-0.81744,-0.53985
1994-07-06,-0.66385,0.76775,0.15615,-0.17032
1994-08-16,1.65586,-1.66551,-1.57841,0.41925
1994-09-27,-1.20267,1.16155,0.47253,-0.22429
1994-11-15,1.59798,-0.44609,-0.44888,-0.79916
1994-12-20,-3.01063,1.88672,-1.34582,0.40577
1995-02-01,0.81998,0.46942,-0.2645,0.59793
1995-03-28,-0.13591,0.45655,0.28357,-0.0553
1995-05-23,1e-05,0.03759,0.0831,-0.026
1995-07-06,-1.45866,-2.04654,-0.75397,-2.32028
1995-08-22,0.4536,0.38106,0.28723,0.2106
1995-09-26,0.39377,0.51453,0.38279,0.28141
1995-11-15,0.52931,0.08687,0.08986,0.28859
1995-12-19,-1.20436,0.32499,-0.54516,0.37377
1996-01-31,-0.39632,-0.09398,0.23039,-0.30665
1996-03-26,0.13258,-0.22661,-0.3472,0.52597
1996-05-21,-0.00315,0.42648,0.04666,-0.13981
1996-07-03,-0.95705,0.19455,-0.26213,-0.0187
1996-08-20,-0.37887,0.58433,-0.01401,-0.01799
1996-09-24,-1.58933,0.08283,0.45816,-1.15213
1996-11-13,-0.23288,-0.41223,-0.8515,0.29948
1996-12-17,0.14676,0.06513,0.13734,-0.06791
1997-02-05,-0.49115,0.93937,0.24798,-0.30526
1997-03-25,0.52027,1.37484,0.38764,-0.0443
1997-05-20,-1.31067,-0.06228,-0.17455,0.58208
1997-07-02,-0.2847,-0.09713,-0.53091,0.35686
1997-08-19,-0.00339,0.61863,0.15199,-0.55185
1997-09-30,-0.00036,0.23786,0.32833,-0.39567
1997-11-12,-0.55367,0.45808,-0.607,-1.30468
1997-12-16,0.00151,-0.00389,0.19849,-0.42
1998-02-04,-0.00389,0.52235,-0.34066,-0.28547
1998-03-31,-0.13438,0.17404,-0.04747,0.05987
1998-05-19,-0.34286,0.13161,-0.04815,-0.42038
1998-07-01,-0.06868,-0.02055,0.0692,0.1589
1998-08-18,0.16058,-0.29319,0.28771,0.1818
1998-09-29,0.66241,0.4089,-0.63234,-1.03665
1998-10-15,-3.18749,-3.22527,-0.05111,-0.16692
1998-11-17,-0.91987,-0.39126,-0.39766,1.28831
1998-12-22,-0.00112,0.17913,-0.08134,-0.15492
1999-02-03,0.07293,0.1369,0.77437,0.44728
1999-03-30,-0.13002,0.02669,0.50759,-0.77285
1999-05-18,-0.18387,3.40903,0.66141,-0.50058
1999-06-30,-0.37695,-2.87873,0.31945,0.95078
1999-08-24,0.47032,-1.06552,-0.34283,0.84213
1999-10-05,-0.57371,2.45437,0.11123,-0.01338
1999-11-16,0.9885,0.68781,-0.23702,0.37101
1999-12-21,0.20334,0.02679,1.06598,1.27679
2000-02-02,-0.79776,1.66578,0.12105,0.11656
2000-03-21,-0.6242,0.4755,-1.19434,0.54707
2000-05-16,0.54247,0.6312,-1.06363,-0.18145
2000-06-28,-0.32892,-0.36786,0.02234,0.0563
2000-08-22,-0.2331,0.47475,-0.38601,0.10387
2000-10-03,-0.00978,0.93891,-0.75051,0.37995
2000-11-15,-0.13531,0.52494,-1.22825,-1.10237
2000-12-19,0.85771,0.47938,1.10062,-1.05982
2001-01-03,-5.2359,-0.16343,0.53177,7.45183
2001-01-31,0.46383,0.5001,0.43948,-0.97189
2001-03-20,0.94409,-0.26253,1.15912,-1.82038
2001-04-18,-5.803,-0.28602,3.00306,1.0614
2001-05-15,-1.27339,-0.71732,2.38323,-1.15397
2001-06-27,1.39323,-0.02047,-0.45007,-0.04612
2001-08-21,0.21001,0.24045,0.86754,-1.80603
2001-10-02,-0.49991,0.55178,-0.26549,-0.54599
2001-11-06,-1.98322,-0.63652,1.87414,0.05354
2001-12-11,-0.0917,-1.14416,-0.14037,-0.68637
2002-01-30,0.33387,-0.19592,-0.25564,-0.28
2002-03-19,-0.3349,-0.43193,-0.37995,-1.7293
2002-05-07,0.09009,-0.10936,0.16881,-1.16006
2002-06-26,-0.00246,0.67932,0.16798,-0.98876
2002-08-13,0.5884,-0.90133,1.02483,-2.82315
2002-09-24,0.26415,0.61581,-0.76483,-1.64265
2002-11-06,-2.66551,1.52395,-3.4277,-2.01325
2002-12-10,-0.00742,0.73388,-0.88978,0.08181
2003-01-29,0.12685,0.52501,0.88258,0.94514
2003-03-18,0.31717,0.07326,-0.87164,-0.9164
2003-05-06,0.51318,-1.7299,1.07962,-1.3439
2003-06-25,1.79377,-0.24039,0.43258,0.15689
2003-08-12,0.00747,-0.52066,0.32116,-0.96094
2003-09-16,0.14391,-0.02942,0.04066,-0.46373
2003-10-28,-0.04908,-1.47618,-0.08378,-1.83349
2003-12-09,-0.01234,1.48101,2.04121,1.01519
2004-01-28,0.02742,4.08326,-0.01403,1.91003
2004-03-16,0.01358,-1.23524,-0.57318,-1.46129
2004-05-04,-0.15628,0.16335,0.31597,1.03408
2004-06-30,-0.06496,-0.16544,0.82823,0.36403
2004-08-10,0.09095,0.75315,-0.31206,0.14684
2004-09-21,0.00217,-0.37958,-0.81472,-0.05141
2004-11-10,-0.09545,-0.49641,-0.5515,-0.26117
2004-12-14,-0.11898,-0.23353,-0.12968,-0.15475
2005-02-02,0.00071,-0.24854,-1.03257,-0.01848
2005-03-22,-0.01674,2.09127,2.39687,0.97439
2005-05-03,-0.07768,0.04219,-0.65301,1.06081
2005-06-30,-0.0742,0.72556,-1.57669,-0.06193
2005-08-09,-0.08908,-0.57213,-0.16689,-0.0095
2005-09-20,0.60042,-0.49741,-1.10612,-0.20673
2005-11-01,-0.0709,-0.01448,-0.23262,0.67496
2005-12-13,-0.11164,-0.60364,-0.2668,0.67377
2006-01-31,0.05993,0.83722,0.48082,0.07836
2006-03-28,-0.01078,1.42246,0.0923,-0.24992
2006-05-10,-0.01021,0.95851,-0.25643,0.70187
2006-06-29,-0.19116,-0.78798,1.25271,0.06657
2006-08-08,-0.62896,0.55466,0.02417,-0.5852
2006-09-20,-0.20526,0.68785,-0.41301,0.04891
2006-10-25,-0.06398,-0.24081,-0.41803,-0.33245
2006-12-12,0.00815,-0.93718,-0.12383,-0.22509
2007-01-31,-0.06333,-0.65634,-0.159,0.73177
2007-03-21,0.01817,-2.03227,1.09378,-0.03634
2007-05-09,-0.09529,0.44844,0.94354,-0.19037
2007-06-28,-0.0037,0.48689,-0.2509,-0.21078
2007-08-07,0.0878,0.55669,-0.01466,-2.2854
2007-08-10,0.19291,0.27211,-0.64693,0.01097
2007-08-17,0.44332,-0.05227,2.65344,0.4771
2007-09-18,-2.64938,-0.3855,2.91647,0.7107
2007-10-31,-0.34777,1.71494,-0.40328,0.53526
2007-12-11,0.43076,-0.40484,1.13854,-4.9552
2008-01-22,-6.21921,5.8502,-0.68253,-0.34526
2008-01-30,-1.52503,-0.01411,2.00415,0.53766
2008-03-11,1.11082,1.44943,-0.47177,2.79691
2008-03-18,1.26751,0.24088,-1.17604,-1.73967
2008-04-30,-0.86265,0.014,0.45466,0.16314
2008-06-25,-0.12726,-0.35531,0.97099,-0.43631
2008-08-05,-0.03996,0.10704,0.78344,0.1983
2008-09-16,1.41914,0.67039,0.83641,-0.5902
2008-10-08,-1.62822,2.40341,-0.1439,-0.50861
2008-10-29,-0.46605,1.24911,-1.82052,-3.82263
2008-12-16,-2.10538,-2.93789,-1.82299,0.42999
2009-01-28,0.06606,0.19159,0.62122,-0.15097
