year,month,day,ff4_hf,sp500_hf,MP_pm,CBI_pm,MP_med,CBI_med
1990,2,8,-0.02,-0.16664,-0,-0.02,-0.00138562,-0.01861438
1990,3,28,-0.02,-0.17281,-0,-0.02,-0.00106666,-0.01893334
1990,5,16,0,0.0369,0,0,-0.00190753,0.00190753
1990,7,5,-0.02,-0.01121,-0,-0.02,-0.0094205,-0.0105795
1990,7,13,-0.08,0.02985,-0.08,-0,-0.04154308,-0.03845692
1990,8,22,0,0.29184,0,0,-0.01508654,0.01508654
1990,10,3,-0.00999,-0.13967,-0,-0.00999,0.00222518,-0.01221518
1990,10,29,-0.02,-0.50188,-0,-0.02,0.01594446,-0.03594446
1990,11,14,0.01,-0.00941,0.01,0,0.00548645,0.00451355
1990,12,7,-0.04,0.08856,-0.04,-0,-0.02457807,-0.01542193
1990,12,18,-0.15,0.76453,-0.15,-0,-0.11452203,-0.03547797
1991,1,8,-0.1,0.51814,-0.1,-0,-0.07678501,-0.02321499
1991,2,1,-0.2,-0.18027,-0,-0.2,-0.09068102,-0.10931898
1991,2,7,-0.01,-0.22318,-0,-0.01,0.00653719,-0.01653719
1991,3,8,-0.04,0.39649,-0.04,-0,-0.04049637,0.00049637
1991,3,27,-0.02,0.14055,-0.02,-0,-0.01726567,-0.00273433
1991,4,30,-0.19,0.94203,-0.19,-0,-0.14369782,-0.04630218
1991,5,15,-0.02,-0.23957,-0,-0.02,0.00238446,-0.02238446
1991,7,5,0.01,-0.02932,0.01,0,0.00651568,0.00348432
1991,8,6,-0.11,0.49425,-0.11,-0,-0.08055003,-0.02944997
1991,8,21,0.03,0.12212,0,0.03,0.00868706,0.02131294
1991,9,13,0,-0.04647,0,0,0.00240225,-0.00240225
1991,10,2,0,-0.04361,0,0,0.0022544,-0.0022544
1991,10,30,-0.04,0.02295,-0.04,-0,-0.02118639,-0.01881361
1991,11,6,-0.12,0,-0,-0.12,-0.06,-0.06
1991,12,6,-0.01,0.02634,-0.01,-0,-0.00636163,-0.00363837
1991,12,18,0.01,-0.00786,0.01,0,0.00540632,0.00459368
1991,12,20,-0.25,0,-0,-0.25,-0.125,-0.125
1992,2,6,0,0.03623,0,0,-0.00187289,0.00187289
1992,4,1,-0.01,-0.13198,-0,-0.01,0.00182265,-0.01182265
1992,4,9,-0.19,0.80151,-0.19,-0,-0.1364337,-0.0535663
1992,5,20,0.00999,-0.06721,0.00999,0,0.00846939,0.00152061
1992,7,2,-0.3,0.0557,-0.3,-0,-0.15287939,-0.14712061
1992,8,19,0.01,0.02617,0,0.01,0.00364715,0.00635285
1992,9,4,0.01,-0.0024,0.01,0,0.00512407,0.00487593
1992,10,7,0.01,-0.18129,0.01,0,0.01437171,-0.00437171
1992,11,18,0,0.27846,0,0,-0.01439486,0.01439486
1992,12,23,-0.01,-0.10212,-0,-0.01,0.00027905,-0.01027905
1993,2,4,-0.02,-0.06245,-0,-0.02,-0.00677168,-0.01322832
1993,3,24,0,-0.09324,0,0,0.00482,-0.00482
1993,5,19,-0.02,0.15957,-0.02,-0,-0.0182489,-0.0017511
1993,7,8,0,0.29,0,0,-0.01499142,0.01499142
1993,8,18,0.01,-0.11818,0.01,0,0.01110926,-0.00110926
1993,9,22,0.01,0,0,0.01,0.005,0.005
1993,11,17,0,0.04079,0,0,-0.00210862,0.00210862
1993,12,22,-0.01,0.01935,-0.01,-0,-0.00600029,-0.00399971
1994,2,4,0,-0.65986,0,0,0.03411117,-0.03411117
1994,3,22,0,0.30084,0,0,-0.01555179,0.01555179
1994,4,18,0.12,-0.67892,0.12,0,0.09509646,0.02490354
1994,5,17,0.05,0.54159,0,0.05,-0.00299725,0.05299725
1994,7,6,0,-0.18351,0,0,0.00948647,-0.00948647
1994,8,16,0,0.25516,0,0,-0.01319038,0.01319038
