DATE	BAMLC0A2CAA	BAMLC0A2CAAEY	BAMLC0A4CBBB	BAMLC0A4CBBBEY	BAMLH0A0HYM2	BAMLHE00EHYIOAS	NASDAQCOM	VIXCLS	WILL5000IND	WILL5000INDFC	WILL5000PR	WILLLRGCAP	WILLSMLCAP
1980-07-01							158.170000		2.07	2.07	1172.14	.	.
1980-07-02							159.180000		2.09	2.09	1180.28	.	.
1980-07-03							160.870000		2.11	2.11	1196.34	.	.
1980-07-04							.		.	.	.	.	.
1980-07-07							163.630000		2.13	2.13	1206.15	.	.
1980-07-08							163.580000		2.13	2.13	1203.04	.	.
1980-07-09							164.090000		2.13	2.13	1204.32	.	.
1980-07-10							163.840000		2.11	2.11	1194.64	.	.
1980-07-11							164.820000		2.13	2.13	1203.73	.	.
1980-07-14							166.520000		2.16	2.16	1224.01	.	.
1980-07-15							167.050000		2.15	2.15	1218.07	.	.
1980-07-16							167.100000		2.16	2.16	1221.21	.	.
1980-07-17							168.670000		2.19	2.19	1238.78	.	.
1980-07-18							169.990000		2.20	2.20	1242.89	.	.
1980-07-21							170.480000		2.21	2.21	1247.53	.	.
1980-07-22							169.790000		2.20	2.20	1244.67	.	.
1980-07-23							169.820000		2.20	2.20	1243.40	.	.
1980-07-24							169.920000		2.20	2.20	1242.70	.	.
1980-07-25							169.630000		2.18	2.18	1233.09	.	.
1980-07-28							170.020000		2.19	2.19	1237.99	.	.
1980-07-29							171.060000		2.21	2.21	1247.65	.	.
1980-07-30							172.330000		2.21	2.21	1247.91	.	.
1980-07-31							171.810000		2.20	2.20	1242.57	1473.82	1611.80
1980-08-01							172.490000		2.20	2.20	1240.32	.	.
1980-08-04							171.890000		2.19	2.19	1235.54	.	.
1980-08-05							172.520000		2.20	2.20	1240.18	.	.
1980-08-06							173.450000		2.21	2.21	1248.37	.	.
1980-08-07							175.240000		2.25	2.25	1265.71	.	.
1980-08-08							175.880000		2.25	2.25	1269.60	.	.
1980-08-11							177.110000		2.27	2.27	1281.35	.	.
1980-08-12							176.620000		2.26	2.26	1271.45	.	.
1980-08-13							177.020000		2.25	2.25	1268.13	.	.
1980-08-14							178.760000		2.29	2.29	1287.56	.	.
1980-08-15							179.890000		2.29	2.29	1292.22	.	.
1980-08-18							177.240000		2.25	2.25	1268.63	.	.
1980-08-19							176.280000		2.24	2.24	1261.11	.	.
1980-08-20							177.680000		2.26	2.26	1274.35	.	.
1980-08-21							179.910000		2.30	2.30	1293.37	.	.
1980-08-22							181.700000		2.31	2.31	1300.65	.	.
1980-08-25							181.580000		2.30	2.30	1293.03	.	.
1980-08-26							182.390000		2.30	2.30	1291.26	.	.
1980-08-27							182.150000		2.28	2.28	1279.18	.	.
