DATE	NFCI
1980-07-04	1.23118
1980-07-11	1.03590
1980-07-18	0.89145
1980-07-25	0.79668
1980-08-01	0.75066
1980-08-08	0.74922
1980-08-15	0.78066
1980-08-22	0.83376
1980-08-29	0.90447
1980-09-05	0.98477
1980-09-12	1.06575
1980-09-19	1.15151
1980-09-26	1.24170
1980-10-03	1.34128
1980-10-10	1.45275
1980-10-17	1.58902
1980-10-24	1.74813
1980-10-31	1.93506
1980-11-07	2.14560
1980-11-14	2.36864
1980-11-21	2.59777
1980-11-28	2.82083
1980-12-05	3.01380
1980-12-12	3.16271
1980-12-19	3.26369
1980-12-26	3.29330
1981-01-02	3.26117
1981-01-09	3.16921
1981-01-16	3.03171
1981-01-23	2.85868
1981-01-30	2.66783
1981-02-06	2.46833
1981-02-13	2.27641
1981-02-20	2.10361
1981-02-27	1.94849
1981-03-06	1.82314
1981-03-13	1.73059
1981-03-20	1.67420
1981-03-27	1.65619
1981-04-03	1.67780
1981-04-10	1.73384
1981-04-17	1.82480
1981-04-24	1.93668
1981-05-01	2.06678
1981-05-08	2.21311
1981-05-15	2.36948
1981-05-22	2.53115
1981-05-29	2.70127
1981-06-05	2.86774
1981-06-12	3.03081
1981-06-19	3.17949
1981-06-26	3.30710
1981-07-03	3.40726
1981-07-10	3.47781
1981-07-17	3.51735
1981-07-24	3.52297
1981-07-31	3.50218
1981-08-07	3.45429
1981-08-14	3.38709
1981-08-21	3.30852
1981-08-28	3.22825
1981-09-04	3.15034
1981-09-11	3.08253
1981-09-18	3.02097
1981-09-25	2.96587
1981-10-02	2.91993
1981-10-09	2.87438
1981-10-16	2.83141
1981-10-23	2.78596
1981-10-30	2.73225
1981-11-06	2.66413
1981-11-13	2.58298
1981-11-20	2.48998
1981-11-27	2.39275
1981-12-04	2.29940
1981-12-11	2.21244
1981-12-18	2.13266
1981-12-25	2.06289
1982-01-01	2.00008
1982-01-08	1.94729
1982-01-15	1.91218
1982-01-22	1.89473
1982-01-29	1.90002
1982-02-05	1.92034
1982-02-12	1.95466
1982-02-19	1.99620
1982-02-26	2.03895
1982-03-05	2.07579
1982-03-12	2.10632
1982-03-19	2.13303
1982-03-26	2.15475
1982-04-02	2.17160
1982-04-09	2.18954
1982-04-16	2.20970
1982-04-23	2.23471
1982-04-30	2.27044
1982-05-07	2.32084
1982-05-14	2.38972
1982-05-21	2.47739
1982-05-28	2.57603
1982-06-04	2.67736
1982-06-11	2.77591
1982-06-18	2.85875
1982-06-25	2.91718
1982-07-02	2.94851
1982-07-09	2.95698
1982-07-16	2.94930
1982-07-23	2.94251
1982-07-30	2.95012
1982-08-06	2.98462
1982-08-13	3.05110
1982-08-20	3.14180
1982-08-27	3.24657
1982-09-03	3.34478
1982-09-10	3.41248
1982-09-17	3.42717
1982-09-24	3.36705
1982-10-01	3.22380
1982-10-08	3.00201
1982-10-15	2.71816
1982-10-22	2.39971
1982-10-29	2.07407
1982-11-05	1.76627
1982-11-12	1.49354
1982-11-19	1.26469
1982-11-26	1.08153
1982-12-03	0.93710
1982-12-10	0.82254
1982-12-17	0.72794
1982-12-24	0.64088
1982-12-31	0.55569
1983-01-07	0.46966
1983-01-14	0.38430
1983-01-21	0.30205
1983-01-28	0.22755
1983-02-04	0.16319
1983-02-11	0.11146
1983-02-18	0.07359
1983-02-25	0.04898
1983-03-04	0.03402
1983-03-11	0.02779
1983-03-18	0.02599
1983-03-25	0.02249
1983-04-01	0.01439
1983-04-08	-0.00182
1983-04-15	-0.02717
1983-04-22	-0.06034
1983-04-29	-0.09818
1983-05-06	-0.13629
1983-05-13	-0.16934
1983-05-20	-0.19416
1983-05-27	-0.21031
1983-06-03	-0.21580
1983-06-10	-0.21226
1983-06-17	-0.20209
1983-06-24	-0.18696
1983-07-01	-0.16820
1983-07-08	-0.14921
1983-07-15	-0.13109
1983-07-22	-0.11656
1983-07-29	-0.10607
1983-08-05	-0.10007
1983-08-12	-0.09794
1983-08-19	-0.09982
1983-08-26	-0.10286
1983-09-02	-0.10586
1983-09-09	-0.10732
1983-09-16	-0.10553
1983-09-23	-0.09791
1983-09-30	-0.08424
1983-10-07	-0.06379
1983-10-14	-0.03784
1983-10-21	-0.00742
1983-10-28	0.02270
1983-11-04	0.05203
1983-11-11	0.07688
1983-11-18	0.09668
1983-11-25	0.11066
1983-12-02	0.11750
1983-12-09	0.11650
1983-12-16	0.10682
1983-12-23	0.08666
1983-12-30	0.05580
1984-01-06	0.01772
1984-01-13	-0.02525
1984-01-20	-0.06996
1984-01-27	-0.11167
1984-02-03	-0.14747
1984-02-10	-0.17546
1984-02-17	-0.19335
1984-02-24	-0.20076
1984-03-02	-0.19632
1984-03-09	-0.17869
1984-03-16	-0.14652
1984-03-23	-0.09940
1984-03-30	-0.03630
1984-04-06	0.04260
1984-04-13	0.13577
1984-04-20	0.24265
1984-04-27	0.36145
1984-05-04	0.48782
1984-05-11	0.61779
1984-05-18	0.74506
1984-05-25	0.86420
1984-06-01	0.97190
1984-06-08	1.06306
1984-06-15	1.13534
1984-06-22	1.18404
1984-06-29	1.20427
1984-07-06	1.19206
1984-07-13	1.14749
1984-07-20	1.07733
1984-07-27	0.98922
1984-08-03	0.89363
1984-08-10	0.79967
1984-08-17	0.71364
1984-08-24	0.63719
1984-08-31	0.57056
1984-09-07	0.51306
1984-09-14	0.46075
1984-09-21	0.40958
1984-09-28	0.35753
1984-10-05	0.30386
1984-10-12	0.24806
1984-10-19	0.19181
1984-10-26	0.13779
1984-11-02	0.08768
1984-11-09	0.04146
1984-11-16	-0.00193
