date,u1,u2,u3,u4
1991-07-05,-0.00336,0.3816,0.25428,0.32359
1991-08-06,-2.47753,0.23158,-0.53233,-0.01602
1991-08-21,1.66085,-1.09036,0.69159,0.07856
1991-09-13,-0.71078,0.45746,-0.67707,0.05565
1991-10-02,-0.14359,0.09249,-0.21931,-0.06715
1991-10-30,-0.399,0.05944,0.02074,-0.15913
1991-11-06,-1.32372,-0.24983,-0.04198,-1.26334
1991-12-06,-0.00136,0.11669,0.07574,0.1989
1991-12-18,0.63639,-0.34559,-0.15685,0.05675
1991-12-20,-4.86543,0.66265,0.68893,-2.90318
1992-02-06,0.16897,-0.17508,-0.04086,0.02162
1992-04-01,0.13836,0.05055,0.10277,-0.23277
1992-04-09,-2.83429,-0.7612,1.39962,-1.04484
1992-05-20,-0.00574,0.17138,-0.91299,0.21619
1992-07-02,-1.1477,0.92237,-0.21984,0.49038
1992-08-19,0.34619,-0.26345,0.09575,-0.01499
1992-09-04,0.00186,0.00629,0.41641,-0.08963
1992-10-07,-0.0036,0.37192,-0.12943,-0.0331
1992-11-18,-0.67018,0.18399,-0.4563,0.62144
1992-12-23,0.5186,-0.27076,0.09386,-0.25985
1993-02-04,-0.00013,0.07469,0.05143,-0.09687
1993-03-24,-0.002,0.17192,-0.15122,-0.02204
1993-05-19,-0.34385,-0.13948,-0.31633,0.09918
1993-07-08,0.36297,-0.55064,0.22722,0.36373
1993-08-18,-0.00166,0.23631,0.04766,-0.05768
1993-09-22,-0.00064,0.06282,0.03204,0.06901
1993-11-17,0.30981,-0.36488,-0.13077,-0.07392
1993-12-22,6e-05,-0.01812,0.00269,0.03204
1994-02-04,2.16159,0.88859,-0.03526,0.80722
1994-03-22,0.00868,-1.21182,-0.79548,-0.44478
1994-04-18,1.99058,0.49184,0.08012,0.11938
1994-05-17,1.49579,-2.75633,-0.60627,-0.60068
1994-07-06,-0.6648,0.72112,0.13298,-0.15536
1994-08-16,1.65653,-1.52185,-1.1312,0.3277
1994-09-27,-1.20419,1.08481,0.36214,-0.18979
1994-11-15,1.60096,-0.41884,-0.30298,-0.82814
1994-12-20,-3.01876,1.85095,-0.85546,0.36592
1995-02-01,0.82112,0.43587,-0.19959,0.58354
1995-03-28,-0.13567,0.41829,0.20364,-0.03869
1995-05-23,0.00015,0.03217,0.05778,-0.02184
1995-07-06,-1.46213,-1.85886,-0.45343,-2.35657
1995-08-22,0.45494,0.33905,0.18916,0.22388
1995-09-26,0.39512,0.46087,0.25456,0.30005
1995-11-15,0.53043,0.07008,0.04675,0.29044
1995-12-19,-1.2078,0.33832,-0.36184,0.35461
1996-01-31,-0.39669,-0.09014,0.16889,-0.29408
1996-03-26,0.13207,-0.20248,-0.25823,0.50681
1996-05-21,-0.00295,0.39741,0.04417,-0.13487
1996-07-03,-0.9594,0.20402,-0.16236,-0.02566
1996-08-20,-0.37957,0.55171,0.00616,-0.01359
1996-09-24,-1.59145,0.08503,0.36805,-1.12106
1996-11-13,-0.23482,-0.35199,-0.59109,0.25765
1996-12-17,0.14732,0.05414,0.09475,-0.0616
1997-02-05,-0.4915,0.87633,0.20086,-0.28549
1997-03-25,0.5222,1.26421,0.28325,-0.02037
1997-05-20,-1.31395,-0.03654,-0.12407,0.5781
1997-07-02,-0.28625,-0.06873,-0.36975,0.33197
1997-08-19,-0.00281,0.57447,0.13282,-0.54007
1997-09-30,0.00035,0.21155,0.23981,-0.37815
1997-11-12,-0.55503,0.46182,-0.35211,-1.32552
1997-12-16,0.002,-0.00961,0.14831,-0.40992
1998-02-04,-0.00418,0.5017,-0.21118,-0.29783
1998-03-31,-0.13472,0.16598,-0.02941,0.05912
1998-05-19,-0.34343,0.1306,-0.01216,-0.41956
1998-07-01,-0.0688,-0.02135,0.04186,0.16201
1998-08-18,0.1612,-0.28728,0.18131,0.19253
1998-09-29,0.66342,0.40004,-0.39283,-1.06476
1998-10-15,-3.19476,-2.97068,-0.05266,-0.1738
1998-11-17,-0.92304,-0.34321,-0.30921,1.26891
1998-12-22,-0.00114,0.17093,-0.0465,-0.15739
1999-02-03,0.07404,0.09719,0.51053,0.48315
1999-03-30,-0.12919,0.01048,0.37131,-0.74686
1999-05-18,-0.18244,3.16622,0.52922,-0.44814
1999-06-30,-0.37823,-2.70062,0.13528,0.94889
1999-08-24,0.47023,-0.9922,-0.28517,0.81624
1999-10-05,-0.5743,2.29761,0.12742,0.00853
1999-11-16,0.99018,0.63751,-0.17123,0.35888
1999-12-21,0.20474,-0.02077,0.67642,1.3235
2000-02-02,-0.799,1.56265,0.11766,0.13509
2000-03-21,-0.62742,0.49468,-0.81057,0.49553
2000-05-16,0.54225,0.6225,-0.70789,-0.22962
2000-06-28,-0.32967,-0.34055,0.01013,0.05654
2000-08-22,-0.23412,0.46063,-0.25325,0.08935
2000-10-03,-0.0109,0.90407,-0.50306,0.34954
2000-11-15,-0.13679,0.54099,-0.78265,-1.15413
2000-12-19,0.86169,0.39988,0.7794,-1.00717
2001-01-03,-5.24956,-0.12754,0.16504,7.48402
2001-01-31,0.46598,0.44836,0.33399,-0.94854
2001-03-20,0.94856,-0.29446,0.82989,-1.76818
2001-04-18,-5.81131,-0.30508,2.05578,1.2235
2001-05-15,-1.27216,-0.73761,1.65211,-1.03874
2001-06-27,1.39551,-0.02067,-0.31895,-0.07328
2001-08-21,0.21259,0.19593,0.64967,-1.76141
2001-10-02,-0.50099,0.53376,-0.14545,-0.552
2001-11-06,-1.98477,-0.63798,1.27658,0.14613
2001-12-11,-0.09199,-1.06094,-0.09196,-0.69783
2002-01-30,0.33429,-0.17723,-0.17089,-0.29401
2002-03-19,-0.33544,-0.37993,-0.20311,-1.74477
2002-05-07,0.09104,-0.10591,0.15017,-1.15092
2002-06-26,-0.00164,0.63199,0.15943,-0.97503
2002-08-13,0.59227,-0.8788,0.76496,-2.77743
2002-09-24,0.26445,0.60543,-0.45379,-1.67286
2002-11-06,-2.67492,1.5914,-2.1931,-2.14949
2002-12-10,-0.00864,0.71844,-0.59106,0.04426
2003-01-29,0.12807,0.45371,0.57355,0.98712
2003-03-18,0.31699,0.09921,-0.56107,-0.95639
2003-05-06,0.51615,-1.659,0.73786,-1.30296
2003-06-25,1.79805,-0.26449,0.26278,0.16767
2003-08-12,0.00831,-0.4955,0.23988,-0.94707
2003-09-16,0.14448,-0.02939,0.04093,-0.46172
2003-10-28,-0.04873,-1.37027,-0.02173,-1.84217
2003-12-09,-0.00958,1.30639,1.3742,1.11742
2004-01-28,0.02731,3.81079,0.00132,1.92914
2004-03-16,0.01321,-1.12911,-0.36157,-1.49249
2004-05-04,-0.15659,0.13985,0.18376,1.04848
2004-06-30,-0.06408,-0.18532,0.54574,0.40144
2004-08-10,0.09075,0.71378,-0.20317,0.1359
2004-09-21,0.00094,-0.32478,-0.55645,-0.09167
2004-11-10,-0.09643,-0.4417,-0.37239,-0.28894
2004-12-14,-0.1194,-0.21149,-0.0855,-0.16136
2005-02-02,-0.00083,-0.1944,-0.7025,-0.06824
2005-03-22,-0.01333,1.86396,1.62748,1.0969
2005-05-03,-0.07928,0.06103,-0.47577,1.02875
2005-06-30,-0.07651,0.73719,-1.05032,-0.13113
2005-08-09,-0.08961,-0.52746,-0.12214,-0.02022
2005-09-20,0.60007,-0.43155,-0.75725,-0.26361
2005-11-01,-0.0717,-0.00622,-0.17952,0.66298
2005-12-13,-0.11269,-0.55513,-0.21302,0.65697
2006-01-31,0.06087,0.76389,0.33741,0.10531
2006-03-28,-0.0103,1.32715,0.0972,-0.23685
2006-05-10,-0.01076,0.90325,-0.17927,0.69408
2006-06-29,-0.1899,-0.7802,0.83283,0.12138
2006-08-08,-0.62988,0.52764,0.05332,-0.577
2006-09-20,-0.20619,0.66062,-0.26605,0.03434
2006-10-25,-0.06462,-0.20786,-0.27534,-0.3525
2006-12-12,0.00792,-0.87085,-0.09358,-0.23591
2007-01-31,-0.06415,-0.60916,-0.14356,0.71938
2007-03-21,0.01946,-1.93985,0.70346,0.00313
2007-05-09,-0.09394,0.38641,0.65404,-0.14281
2007-06-28,-0.00389,0.46502,-0.15362,-0.21929
2007-08-07,0.08911,0.527,0.07619,-2.2788
2007-08-10,0.19241,0.27552,-0.43516,-0.01861
2007-08-17,0.44791,-0.15349,1.77306,0.5982
2007-09-18,-2.65106,-0.43496,1.97174,0.85517
2007-10-31,-0.34902,1.62062,-0.25527,0.52675
2007-12-11,0.43553,-0.41007,0.92448,-4.89646
2008-01-22,-6.23204,5.57566,-0.27235,-0.31575
2008-01-30,-1.52554,-0.06849,1.35459,0.63701
2008-03-11,1.11144,1.34873,-0.3989,2.77293
2008-03-18,1.26928,0.25726,-0.7469,-1.79547
2008-04-30,-0.86386,0.00716,0.31204,0.18794
2008-06-25,-0.12596,-0.36468,0.66641,-0.39149
2008-08-05,-0.03897,0.07121,0.52575,0.23539
2008-09-16,1.42374,0.57929,0.58209,-0.55217
2008-10-08,-1.63118,2.27467,-0.01763,-0.49341
2008-10-29,-0.46771,1.25257,-1.07481,-3.89121
2008-12-16,-2.1132,-2.65311,-1.27825,0.33594
2009-01-28,0.06721,0.15591,0.42812,-0.12077
2009-03-18,0.00333,-5.54291,-11.36833,0.07263
2009-04-29,0.06877,-0.07658,1.82608,1.678
2009-06-24,-0.00571,1.59074,2.09977,0.04736
2009-08-12,0.00149,0.34157,0.73758,-0.47753
2009-09-23,-0.05237,-1.78155,-0.56628,-0.29162
2009-11-04,-0.07157,-0.01821,1.18643,-0.11941
2009-12-16,-0.41453,0.63447,0.83485,0.01678
2010-01-27,-0.0783,0.63253,-0.70735,1.10095
2010-03-16,-0.05968,-0.6225,0.60778,-0.40749
2010-04-28,0.0027,-0.13932,0.61094,0.26923
2010-06-23,0.06811,-0.36499,0.0772,0.5592
2010-08-10,0.05091,-1.25908,-1.62812,0.82121
2010-09-21,0.00342,-0.69493,0.1037,0.91178
2010-11-03,0.11414,0.88309,2.22607,-0.70889
2010-12-14,0.00247,0.11903,0.87996,-0.02236
2011-01-26,-0.06346,0.12211,0.84037,-0.24853
2011-03-15,-0.00482,0.11002,-0.17513,0.97443
2011-04-27,0.00611,-0.49359,0.26738,-0.24873
2011-06-22,-0.00201,0.22403,0.36763,0.46084
2011-08-09,-0.0785,-0.04847,1.32126,-2.92327
2011-09-21,0.10139,0.1387,-2.17094,-0.03852
2011-11-02,-0.00273,0.25616,-0.20353,-0.08367
2011-12-13,0.05485,0.55433,-0.49674,-1.29945
2012-01-25,-0.06393,-0.83863,-1.08791,0.13489
2012-03-13,-0.00029,0.44042,1.03001,0.15187
2012-04-25,0.00118,0.12899,0.50939,-0.095
2012-06-20,0.09475,-0.15159,-1.57918,0.08695
2012-08-01,-0.15722,0.55214,0.10084,0.50484
2012-09-13,0.11835,0.17093,1.92829,1.56007
2012-10-24,-0.06732,0.06901,-0.14269,-0.0974
2012-12-12,0.057,-0.15056,0.98188,0.72587
2013-01-30,0.06806,-0.11149,-0.05041,-0.24561
2013-03-20,0.00093,-0.16294,-0.0526,0.08417
2013-05-01,-0.27583,0.17047,0.38256,0.3385
2013-06-19,-0.00186,0.72136,1.45201,0.39454
2013-07-31,0.06847,-0.68195,-0.47555,0.62895
2013-09-18,0.00678,-2.09755,-2.39542,0.60863
2013-10-30,-0.00041,0.6541,1.03719,-0.36487
2013-12-18,0.00481,-0.82687,0.36524,1.14421
2014-01-29,-0.00201,0.29838,-0.52868,-0.80061
2014-03-19,-0.01064,1.0325,0.16295,0.72399
2014-04-30,0.00034,0.03625,0.22277,0.06443
2014-06-18,-0.00223,-0.20952,-0.39214,0.76721
2014-07-30,-0.06557,-0.50673,-0.40704,0.57086
2014-09-17,-0.00523,0.2552,0.10929,1.05471
2014-10-29,0.05899,0.77765,-0.18391,0.02365
2014-12-17,-0.0582,-1.42705,1.02107,0.2474
2015-01-28,0.00129,-0.02226,-0.16971,-0.5364
2015-03-18,-0.06168,-2.39282,0.25855,1.20269
2015-04-29,-0.06612,-0.12244,-0.08899,0.10253
2015-06-17,-0.06919,-0.99694,-0.417,-0.17344
2015-07-29,-0.06438,-0.3433,-0.19193,0.03247
2015-09-17,-0.83994,-0.36353,-0.23428,-0.57633
2015-10-28,-0.08056,1.31151,-0.92661,-0.2607
2015-12-16,0.27798,-0.54766,-0.48221,-0.07684
2016-01-27,-0.06274,-0.02248,-0.01724,-1.10751
2016-03-16,-0.19062,-1.35126,0.06659,-1.09848
2016-04-27,-0.0688,-0.11406,-0.3728,0.56363
2016-06-15,0.00869,-0.48229,0.49206,-0.79981
2016-07-27,-0.13467,-0.14318,-0.48152,0.32141
2016-09-21,-0.662,-0.42306,-0.30316,-0.13931
2016-11-02,-0.07262,0.0425,-0.04401,0.24524
2016-12-14,-0.01042,1.06765,0.34211,0.77746
2017-02-01,-0.02896,-0.40649,0.45679,-0.09992
2017-03-15,0.01207,-1.05641,0.20871,-0.65465
2017-05-03,-0.003,0.24633,0.07867,0.3624
2017-06-14,0.24597,0.20447,-0.15753,0.30396
2017-07-26,-0.06364,-0.25708,-0.07298,-0.28101
2017-09-20,-0.00766,0.75127,0.09562,0.47384
2017-11-01,-0.03459,0.01718,0.16973,0.20043
2017-12-13,0.00304,-0.34014,-0.05244,-0.09547
2018-01-31,-0.06858,0.34772,0.30168,0.07932
2018-03-21,0.00367,-0.20945,0.95161,0.56364
2018-05-02,0.00293,-0.32101,0.05394,0.01456
2018-06-13,-0.06657,0.74576,0.04389,0.46724
2018-08-01,0.07615,-0.12111,-0.1308,0.01739
2018-09-26,0.13553,-0.36207,0.12412,0.32463
2018-11-08,0.04459,0.02547,0.07173,0.25127
2018-12-19,0.42797,0.30548,-0.80735,-1.36739
2019-01-30,0.01022,-1.20715,0.50428,0.65972
2019-03-20,0.20055,-1.38799,0.05799,-0.33889
2019-05-01,-0.3706,-0.53713,0.37669,-0.38066
2019-06-19,0.56261,-1.56674,0.65527,-0.76707
