date,u1,u2,u3,u4
2005-02-02,-0.00013,0.14646,-0.50301,-0.04937
2005-03-22,-0.00568,0.68203,1.47658,1.408
2005-05-03,-0.10355,0.10231,-0.36831,1.15813
2005-06-30,-0.09517,1.1151,-0.49969,0.08744
2005-08-09,-0.12756,-0.34811,-0.23487,-0.12709
2005-09-20,0.82539,-0.24686,-0.45781,-0.22207
2005-11-01,-0.09604,-0.01712,-0.17119,0.72321
2005-12-13,-0.1571,-0.44356,-0.34425,0.60584
2006-01-31,0.08936,0.45188,0.42503,0.24274
2006-03-28,-0.00394,1.11493,0.41919,-0.00464
2006-05-10,-0.00417,0.71193,0.07696,0.94456
2006-06-29,-0.27141,-0.94541,0.28959,-0.12278
2006-08-08,-0.86536,0.78626,0.06654,-0.61015
2006-09-20,-0.27722,0.74524,-0.04804,0.16373
2006-10-25,-0.09078,0.03229,-0.2271,-0.40675
2006-12-12,0.00309,-0.64995,-0.27212,-0.4179
2007-01-31,-0.09078,-0.54956,-0.30609,0.66306
2007-03-21,0.00728,-1.92738,-0.04342,-0.43999
2007-05-09,-0.12927,0.11192,0.51262,-0.14968
2007-06-28,-0.00142,0.49422,0.03263,-0.13243
2007-08-07,0.11989,0.77603,0.33425,-2.35864
2007-08-10,0.26921,0.33634,-0.16781,0.09912
2007-08-17,0.61037,-1.17149,1.17561,0.51868
2007-09-18,-3.66192,-0.23215,0.53936,0.30703
2007-10-31,-0.4643,1.51584,0.14955,0.86631
2007-12-11,0.57751,-0.04584,0.8646,-5.40788
2008-01-22,-8.53872,7.45512,-0.07238,-0.05463
2008-01-30,-2.10614,-0.10019,0.4923,0.34976
2008-03-11,1.55323,0.33522,0.17848,3.4543
2008-03-18,1.74856,0.31531,-0.03946,-1.65599
2008-04-30,-1.1909,0.20443,0.005,0.06083
2008-06-25,-0.18066,-0.46353,0.33241,-0.57265
2008-08-05,-0.05452,-0.18781,0.33811,0.21657
2008-09-16,1.96252,-0.26239,0.87094,-0.34447
2008-10-08,-2.22944,2.68328,0.25096,-0.30301
2008-10-29,-0.64136,2.38937,-0.25544,-3.93315
2008-12-16,-2.92807,-0.84894,-2.00062,-0.32925
2009-01-28,0.0918,-0.05716,0.34,-0.12938
2009-03-18,0.0042,0.14975,-8.82569,0.00481
2009-04-29,0.09179,-1.16196,1.08633,1.64749
2009-06-24,-0.00273,0.43766,1.77298,0.17615
2009-08-12,0.00045,0.05852,0.59491,-0.51567
2009-09-23,-0.08602,-1.17651,-0.82583,-0.6237
2009-11-04,-0.10403,-0.46461,0.75669,-0.24895
2009-12-16,-0.5691,0.34955,0.61541,0.0128
2010-01-27,-0.09611,0.66457,-0.37397,1.37004
2010-03-16,-0.09136,-0.67937,0.24271,-0.6267
2010-04-28,0.00084,-0.42332,0.3459,0.20962
2010-06-23,0.09214,-0.46579,-0.06134,0.53577
2010-08-10,0.06862,-0.53287,-1.41954,0.79369
2010-09-21,0.00116,-0.78826,-0.1639,0.84139
2010-11-03,0.15344,-0.12325,1.73982,-0.77772
2010-12-14,0.00072,-0.26894,0.6041,-0.07932
2011-01-26,-0.09064,-0.1817,0.57751,-0.32895
2011-03-15,-0.00194,-0.00531,-0.14103,1.09202
2011-04-27,0.00231,-0.48385,0.06064,-0.38994
2011-06-22,-0.00093,-0.04895,0.27055,0.51003
2011-08-09,-0.12314,-0.04545,0.99273,-3.30436
2011-09-21,0.14973,0.99638,-1.3492,0.19403
2011-11-02,-0.00098,0.31608,-0.06145,-0.02216
2011-12-13,0.07833,0.881,-0.09328,-1.24587
2012-01-25,-0.09037,-0.23902,-0.94596,0.06954
2012-03-13,-0.0004,-0.0934,0.77465,0.15896
2012-04-25,0.00033,-0.09076,0.36988,-0.12296
2012-06-20,0.13604,0.48443,-1.04895,0.21864
2012-08-01,-0.21074,0.39546,0.1462,0.62552
