date,u1,u2,u3,u4
1991-07-05,-0.004,0.22842,0.30112,0.38827
1991-08-06,-2.61748,0.48536,-0.67267,-0.06428
1991-08-21,1.75414,-1.45254,0.59182,0.03054
1991-09-13,-0.75067,0.77642,-0.61205,0.10202
1991-10-02,-0.1515,0.20642,-0.19934,-0.0651
1991-10-30,-0.42135,0.07382,-0.00235,-0.19013
1991-11-06,-1.39693,-0.05877,-0.1804,-1.49696
1991-12-06,-0.00172,0.05654,0.08851,0.23212
1991-12-18,0.6723,-0.29021,-0.15416,0.06403
1991-12-20,-5.13684,0.77095,0.3829,-3.43181
1992-02-06,0.17847,-0.16408,-0.05549,0.01758
1992-04-01,0.1465,0.03759,0.12117,-0.25894
1992-04-09,-2.99411,-1.28683,0.93488,-1.39859
1992-05-20,-0.00593,0.56943,-0.82482,0.29401
1992-07-02,-1.213,0.98007,-0.14642,0.60038
1992-08-19,0.36569,-0.31304,0.07213,-0.03031
1992-09-04,0.00192,-0.1741,0.39137,-0.11703
1992-10-07,-0.00359,0.44745,-0.05279,-0.00222
1992-11-18,-0.70876,0.31197,-0.46167,0.71406
1992-12-23,0.54821,-0.28463,0.08829,-0.30251
1993-02-04,1e-05,0.06677,0.06319,-0.1057
1993-03-24,-0.00196,0.25024,-0.1096,-0.00517
1993-05-19,-0.36337,-0.01109,-0.35255,0.1013
1993-07-08,0.38273,-0.72351,0.13767,0.3711
1993-08-18,-0.00162,0.22921,0.08834,-0.04793
1993-09-22,-0.00077,0.03992,0.04014,0.08214
1993-11-17,0.3274,-0.30385,-0.15996,-0.09799
1993-12-22,1e-05,-0.02446,-0.00132,0.03475
1994-02-04,2.28312,0.8176,0.30611,1.06401
1994-03-22,0.00977,-0.814,-0.9549,-0.57274
1994-04-18,2.10323,0.4537,0.33785,0.24128
1994-05-17,1.58073,-2.46728,-0.92602,-0.83195
1994-07-06,-0.70205,0.70167,0.19943,-0.14513
1994-08-16,1.74986,-1.0856,-1.19222,0.3475
1994-09-27,-1.27191,0.97384,0.43254,-0.18179
1994-11-15,1.69278,-0.1707,-0.20415,-0.90639
1994-12-20,-3.18926,2.24652,-0.73326,0.49515
1995-02-01,0.867,0.45874,-0.04415,0.73334
1995-03-28,-0.14326,0.34118,0.25491,-0.0221
1995-05-23,0.00018,0.00938,0.06015,-0.02434
1995-07-06,-1.54194,-1.36749,-0.8515,-2.85728
1995-08-22,0.48041,0.22953,0.27467,0.29005
1995-09-26,0.4171,0.31357,0.35135,0.38183
1995-11-15,0.56005,0.00951,0.09832,0.35156
1995-12-19,-1.27643,0.46441,-0.38837,0.40199
1996-01-31,-0.41883,-0.12963,0.11109,-0.361
1996-03-26,0.13887,-0.16051,-0.27462,0.57252
1996-05-21,-0.00282,0.40758,0.11559,-0.12216
1996-07-03,-1.01355,0.28804,-0.19848,-0.03927
1996-08-20,-0.40088,0.56633,0.07302,0.01644
1996-09-24,-1.68008,0.07483,0.23726,-1.33318
1996-11-13,-0.24834,-0.12462,-0.64067,0.27788
1996-12-17,0.15572,0.02063,0.11228,-0.06396
1997-02-05,-0.51874,0.84855,0.30848,-0.27659
1997-03-25,0.55207,1.17254,0.54098,0.08761
1997-05-20,-1.38913,-0.06361,-0.24785,0.61188
1997-07-02,-0.3028,0.05339,-0.38829,0.37509
1997-08-19,-0.00207,0.60631,0.23731,-0.57048
1997-09-30,0.00087,0.16018,0.26862,-0.42062
1997-11-12,-0.58427,0.82698,-0.27136,-1.47073
